CustomerID;Coverage;Education;EmploymentStatus;Gender;Income;Location.Geo;Location.Code;Zone;Marital.Status;Monthly.Premium.Auto;Months.Since.Last.Claim;Months.Since.Policy.Inception;Number.of.Open.Complaints;Number.of.Policies;Policy.Type;Policy;Renew.Offer.Type;Sales.Channel;Total.Claim.Amount;Vehicle.Class;Vehicle.Size;Group.Clustering;Ratio.Clv.Prime_Tot;Clv
113;Extended;Bachelor;Unemployed;M;44606,39071;17,6;79,5;Suburban;Single;94;20;53;0;1;Personal Auto;Personal L3;Offer1;Agent;863,327324;Two-Door Car;Small;Group.1;0,826710694;4118,672676
115;Basic;College;Employed;M;33663;12,9;81;Suburban;Married;73;29;71;0;1;Personal Auto;Personal L3;Offer3;Web;350,4;Four-Door Car;Medsize;Group.1;0,932394366;4832,6
131;Extended;High School or Below;Employed;F;61486;28;79,1;Urban;Married;97;5;65;0;2;Personal Auto;Personal L3;Offer4;Branch;465,258644;Two-Door Car;Small;Group.1;0,926207987;5839,741356
144;Basic;Master;Employed;M;65186;17,1;77,5;Rural;Married;65;29;27;0;1;Personal Auto;Personal L2;Offer2;Web;5,434505;Two-Door Car;Large;Group.1;0,996903416;1749,565495
148;Basic;Bachelor;Employed;M;61321;19,2;71,9;Rural;Single;186;0;30;1;2;Personal Auto;Personal L3;Offer2;Branch;427,63121;Luxury Car;Small;Group.1;0,923363582;5152,36879
157;Premium;College;Medical Leave;M;21513;17,7;78;Suburban;Married;119;21;81;1;2;Personal Auto;Personal L3;Offer2;Branch;679,827592;Two-Door Car;Small;Group.1;0,929471149;8959,172408
158;Basic;College;Unemployed;M;44606,39071;18,8;73,6;Suburban;Single;70;24;10;0;1;Personal Auto;Personal L1;Offer1;Branch;425,266308;Four-Door Car;Medsize;Group.1;0,392476703;274,733692
191;Extended;High School or Below;Unemployed;F;44606,39071;18,4;73,2;Suburban;Single;130;28;88;0;4;Personal Auto;Personal L3;Offer1;Web;936;SUV;Medsize;Group.1;0,918181818;10504
196;Basic;Bachelor;Employed;F;32303;19,3;72,2;Rural;Married;65;13;34;0;2;Personal Auto;Personal L1;Offer3;Branch;45,152521;Four-Door Car;Medsize;Group.1;0,979568995;2164,847479
198;Extended;College;Employed;M;56398;18,7;71,7;Suburban;Married;85;4;18;0;7;Personal Auto;Personal L3;Offer4;Agent;408;Four-Door Car;Small;Group.1;0,733333333;1122
203;Basic;High School or Below;Unemployed;M;44606,39071;18,9;72;Suburban;Married;102;11;70;1;3;Corporate Auto;Corporate L2;Offer1;Agent;489,6;SUV;Medsize;Group.1;0,931428571;6650,4
224;Basic;Bachelor;Employed;F;33555;22,7;88,5;Rural;Married;63;17;11;0;1;Personal Auto;Personal L3;Offer1;Agent;101,89645;Four-Door Car;Medsize;Group.1;0,852963276;591,10355
232;Premium;College;Employed;M;42780;17,1;78,1;Suburban;Divorced;113;10;27;1;2;Personal Auto;Personal L2;Offer1;Call Center;542,4;Four-Door Car;Medsize;Group.1;0,822222222;2508,6
235;Extended;College;Employed;M;21880;28,3;77,4;Urban;Married;97;29;37;0;1;Special Auto;Special L2;Offer1;Branch;424,077159;Four-Door Car;Medsize;Group.1;0,881839744;3164,922841
245;Basic;Bachelor;Employed;F;28406;17,6;78,3;Urban;Married;72;16;35;1;4;Personal Auto;Personal L3;Offer1;Call Center;192,87572;Four-Door Car;Medsize;Group.1;0,923462016;2327,12428
250;Basic;High School or Below;Unemployed;M;0;29;76,6;Suburban;Single;117;6;1;0;1;Personal Auto;Personal L3;Offer1;Agent;975,107098;SUV;Medsize;Group.1;-7,334248701;-858,107098
253;Basic;Bachelor;Employed;F;28859;29,1;78,2;Suburban;Divorced;67;24;51;3;4;Corporate Auto;Corporate L2;Offer1;Call Center;321,6;Two-Door Car;Medsize;Group.1;0,905882353;3095,4
258;Premium;College;Unemployed;M;0;16,8;78,8;Suburban;Married;105;3;92;0;1;Corporate Auto;Corporate L2;Offer1;Branch;504;Four-Door Car;Large;Group.1;0,947826087;9156
261;Basic;High School or Below;Employed;M;95697;12,9;79,9;Rural;Married;107;29;29;0;9;Personal Auto;Personal L3;Offer2;Agent;178,006524;Sports Car;Medsize;Group.1;0,942634056;2924,993476
262;Extended;High School or Below;Disabled;M;26372;28,2;77,2;Suburban;Married;126;11;7;0;1;Personal Auto;Personal L3;Offer4;Agent;604,8;SUV;Medsize;Group.1;0,314285714;277,2
263;Basic;High School or Below;Unemployed;F;44606,39071;18,7;71,8;Suburban;Single;61;17;1;1;7;Personal Auto;Personal L1;Offer1;Agent;292,8;Four-Door Car;Small;Group.1;-3,8;-231,8
275;Basic;College;Employed;F;61846;12,6;79,3;Rural;Married;112;1;48;0;1;Personal Auto;Personal L2;Offer2;Agent;215,8182;SUV;Medsize;Group.1;0,959855246;5160,1818
279;Basic;High School or Below;Employed;M;21709;17,9;77,9;Suburban;Married;62;28;17;0;3;Personal Auto;Personal L2;Offer2;Branch;408,374746;Four-Door Car;Large;Group.1;0,612547679;645,625254
285;Extended;College;Employed;M;61709;18,2;79,6;Urban;Married;82;5;41;2;7;Personal Auto;Personal L3;Offer3;Branch;275,395894;Four-Door Car;Medsize;Group.1;0,918085695;3086,604106
286;Premium;Master;Disabled;F;27679;19;73,2;Suburban;Single;150;30;28;0;3;Personal Auto;Personal L1;Offer1;Call Center;722,486994;SUV;Medsize;Group.1;0,827979287;3477,513006
290;Basic;College;Unemployed;M;44606,39071;18;72,7;Suburban;Single;116;14;35;0;2;Personal Auto;Personal L2;Offer1;Agent;1284,093173;SUV;Medsize;Group.1;0,683720893;2775,906827
304;Extended;Bachelor;Employed;F;68964;13,6;81;Rural;Married;78;15;6;0;3;Personal Auto;Personal L3;Offer3;Web;115,086827;Four-Door Car;Medsize;Group.1;0,754087976;352,913173
305;Basic;High School or Below;Employed;F;77493;19,3;73,1;Urban;Single;70;2;35;0;3;Special Auto;Special L3;Offer1;Agent;307,963291;Four-Door Car;Medsize;Group.1;0,874300698;2142,036709
310;Basic;College;Employed;M;81097;28,6;75,6;Suburban;Divorced;74;7;67;0;1;Personal Auto;Personal L1;Offer4;Agent;355,2;Four-Door Car;Small;Group.1;0,928358209;4602,8
312;Extended;High School or Below;Employed;M;34498;13,4;81,1;Suburban;Single;83;30;72;0;7;Personal Auto;Personal L3;Offer2;Branch;398,4;Two-Door Car;Small;Group.1;0,933333333;5577,6
313;Basic;Bachelor;Employed;F;53863;18,9;73,5;Rural;Married;63;12;30;0;2;Personal Auto;Personal L2;Offer1;Web;105,765111;Four-Door Car;Large;Group.1;0,944039624;1784,234889
317;Basic;Bachelor;Employed;F;72006;28,3;76,3;Suburban;Divorced;64;4;38;0;3;Personal Auto;Personal L1;Offer4;Agent;307,2;Four-Door Car;Medsize;Group.1;0,873684211;2124,8
318;Extended;High School or Below;Unemployed;F;44606,39071;28,7;76,9;Suburban;Married;81;3;60;2;2;Personal Auto;Personal L2;Offer4;Call Center;388,8;Four-Door Car;Small;Group.1;0,92;4471,2
324;Basic;Master;Employed;M;44320;19,5;72,7;Suburban;Married;67;13;79;0;2;Personal Auto;Personal L2;Offer1;Call Center;321,6;Four-Door Car;Medsize;Group.1;0,939240506;4971,4
334;Extended;Bachelor;Employed;F;94827;17,3;79,7;Urban;Married;135;5;64;0;4;Personal Auto;Personal L3;Offer1;Agent;354,729129;SUV;Medsize;Group.1;0,958943388;8285,270871
337;Basic;Bachelor;Unemployed;M;0;18,9;72,9;Suburban;Married;93,62241888;32;59;0;2;Personal Auto;Personal L1;Offer1;Agent;385,115437;Four-Door Car;Small;Group.1;0,93027973;5138,607277
358;Basic;College;Medical Leave;M;16531;17,2;78,2;Rural;Married;63;0;40;0;4;Corporate Auto;Corporate L1;Offer1;Web;102,879769;Four-Door Car;Medsize;Group.1;0,959174695;2417,120231
359;Premium;High School or Below;Employed;F;70435;29,5;76,7;Rural;Married;116;0;50;0;4;Personal Auto;Personal L3;Offer3;Agent;67,881546;Four-Door Car;Medsize;Group.1;0,988296285;5732,118454
382;Extended;College;Unemployed;M;0;19,5;73,1;Suburban;Single;76;33;36;2;2;Personal Auto;Personal L3;Offer3;Branch;402,636829;Two-Door Car;Medsize;Group.1;0,852837416;2333,363171
395;Extended;High School or Below;Employed;F;39679;17,7;78,4;Suburban;Married;92;2;85;0;1;Personal Auto;Personal L3;Offer2;Branch;641,388616;Two-Door Car;Medsize;Group.1;0,917980995;7178,611384
396;Extended;College;Unemployed;M;44606,39071;22,9;89;Urban;Single;89;13;45;0;5;Personal Auto;Personal L2;Offer1;Web;342,481173;Four-Door Car;Medsize;Group.1;0,914486599;3662,518827
400;Basic;Bachelor;Unemployed;M;44606,39071;19,3;72,5;Suburban;Married;69;21;70;4;3;Personal Auto;Personal L2;Offer4;Web;331,2;Two-Door Car;Medsize;Group.1;0,931428571;4498,8
406;Basic;High School or Below;Employed;M;53565;22,9;89;Suburban;Married;71;27;34;1;6;Personal Auto;Personal L3;Offer1;Agent;340,8;Four-Door Car;Small;Group.1;0,858823529;2073,2
409;Extended;High School or Below;Employed;F;78532;28,9;75,7;Suburban;Married;78;25;87;0;3;Personal Auto;Personal L3;Offer2;Call Center;374,4;Four-Door Car;Medsize;Group.1;0,944827586;6411,6
410;Basic;College;Employed;M;72672;12,7;79,3;Urban;Married;63;7;39;0;5;Personal Auto;Personal L2;Offer2;Call Center;259,361117;Four-Door Car;Large;Group.1;0,89443992;2197,638883
421;Premium;Bachelor;Employed;F;99002;17,6;78,8;Suburban;Married;112;33;75;1;8;Personal Auto;Personal L1;Offer3;Branch;537,6;Four-Door Car;Medsize;Group.1;0,936;7862,4
436;Basic;High School or Below;Employed;M;85857;19,3;73,3;Rural;Married;73;3;19;0;6;Corporate Auto;Corporate L2;Offer4;Agent;100,620067;Four-Door Car;Medsize;Group.1;0,92745489;1286,379933
438;Extended;College;Employed;F;89642;16,8;77,5;Rural;Married;121;11;20;4;1;Corporate Auto;Corporate L3;Offer3;Call Center;86,320022;SUV;Medsize;Group.1;0,964330569;2333,679978
439;Basic;Bachelor;Employed;F;40864;22,7;87,6;Rural;Married;65;2;75;0;1;Corporate Auto;Corporate L1;Offer2;Web;9,51528;Four-Door Car;Medsize;Group.1;0,998048148;4865,48472
451;Extended;Bachelor;Employed;M;34923;18,9;72,8;Suburban;Single;98;23;82;0;2;Personal Auto;Personal L1;Offer1;Call Center;639,105556;Two-Door Car;Medsize;Group.1;0,920469692;7396,894444
452;Basic;High School or Below;Unemployed;M;44606,39071;28,4;77;Suburban;Married;74;17;73;0;1;Personal Auto;Personal L3;Offer1;Call Center;402,449823;Two-Door Car;Medsize;Group.1;0,925499848;4999,550177
479;Basic;Bachelor;Employed;M;34476;19,2;74,1;Rural;Married;67;23;49;1;3;Corporate Auto;Corporate L2;Offer4;Call Center;5,3953;Four-Door Car;Medsize;Group.1;0,998356595;3277,6047
481;Basic;Bachelor;Unemployed;F;0;29;78,1;Rural;Married;70;1;11;0;5;Personal Auto;Personal L2;Offer1;Web;131,401291;Four-Door Car;Medsize;Group.1;0,829348973;638,598709
487;Basic;High School or Below;Unemployed;F;0;19,5;72,7;Suburban;Single;61;28;31;0;1;Personal Auto;Personal L3;Offer2;Web;292,8;Four-Door Car;Medsize;Group.1;0,84516129;1598,2
507;Basic;High School or Below;Employed;M;46131;19,1;71,5;Suburban;Married;74;27;28;0;1;Personal Auto;Personal L3;Offer2;Branch;355,2;Two-Door Car;Small;Group.1;0,828571429;1716,8
509;Basic;College;Employed;F;96668;22,6;89,4;Suburban;Single;66;2;95;0;3;Personal Auto;Personal L2;Offer1;Agent;316,8;Four-Door Car;Medsize;Group.1;0,949473684;5953,2
512;Basic;Doctor;Employed;M;78879;19,1;73,6;Suburban;Married;69;9;67;1;4;Personal Auto;Personal L3;Offer4;Call Center;466,570791;Four-Door Car;Small;Group.1;0,899076186;4156,429209
521;Basic;High School or Below;Unemployed;F;44606,39071;18,8;73,1;Suburban;Single;112;7;42;0;9;Personal Auto;Personal L1;Offer1;Branch;806,4;Sports Car;Medsize;Group.1;0,828571429;3897,6
528;Extended;College;Employed;M;58778;28,7;76,7;Rural;Married;126;6;62;0;2;Special Auto;Special L3;Offer1;Agent;302,033971;SUV;Small;Group.1;0,961337177;7509,966029
530;Premium;Bachelor;Employed;F;51859;18,7;71;Suburban;Married;171;0;21;0;1;Personal Auto;Personal L2;Offer4;Branch;1003,160633;SUV;Medsize;Group.1;0,720645883;2587,839367
532;Extended;High School or Below;Employed;M;46998;16,6;78,9;Suburban;Divorced;96;13;98;0;6;Corporate Auto;Corporate L3;Offer3;Agent;460,8;Four-Door Car;Medsize;Group.1;0,951020408;8947,2
546;Basic;Bachelor;Employed;F;33897;29,1;76,1;Urban;Married;114;15;67;0;8;Corporate Auto;Corporate L3;Offer1;Agent;539,843003;SUV;Small;Group.1;0,929321419;7098,156997
549;Basic;High School or Below;Employed;M;40171;17,7;78,5;Suburban;Divorced;73;8;78;0;1;Personal Auto;Personal L3;Offer4;Agent;350,4;Four-Door Car;Medsize;Group.1;0,938461538;5343,6
550;Extended;Bachelor;Medical Leave;F;21665;13,3;79,7;Suburban;Divorced;93,62241888;0;25;0;1;Personal Auto;Corporate L2;Offer1;Branch;765,709629;SUV;Medsize;Group.1;0,672852021;1574,850843
551;Basic;High School or Below;Employed;F;20090;28,2;76,1;Suburban;Married;109;10;59;0;2;Personal Auto;Personal L1;Offer2;Agent;523,2;Sports Car;Medsize;Group.1;0,918644068;5907,8
571;Basic;High School or Below;Unemployed;M;44606,39071;18,5;70,6;Suburban;Married;183;6;16;0;2;Personal Auto;Personal L1;Offer3;Agent;878,4;Luxury SUV;Large;Group.1;0,7;2049,6
574;Basic;High School or Below;Unemployed;F;44606,39071;18,8;72,8;Suburban;Divorced;62;5;31;0;1;Personal Auto;Personal L3;Offer3;Branch;297,6;Two-Door Car;Medsize;Group.1;0,84516129;1624,4
575;Basic;Bachelor;Unemployed;M;0;18,3;77,3;Suburban;Single;74;34;51;0;4;Corporate Auto;Corporate L2;Offer1;Call Center;532,8;Four-Door Car;Medsize;Group.1;0,858823529;3241,2
588;Premium;High School or Below;Employed;M;65726;17,1;78,3;Suburban;Married;177;35;90;0;7;Corporate Auto;Corporate L1;Offer1;Agent;849,6;SUV;Medsize;Group.1;0,946666667;15080,4
595;Extended;Bachelor;Employed;F;22254;17,1;77,7;Rural;Married;79;22;75;0;2;Personal Auto;Personal L1;Offer3;Call Center;125,194389;Four-Door Car;Large;Group.1;0,978870145;5799,805611
602;Basic;High School or Below;Unemployed;M;44606,39071;22,4;88,6;Suburban;Single;74;1;62;0;7;Personal Auto;Personal L1;Offer1;Agent;772,798511;Two-Door Car;Medsize;Group.1;0,831560917;3815,201489
616;Extended;College;Unemployed;M;0;16,8;78,3;Suburban;Married;132;9;85;0;6;Personal Auto;Personal L3;Offer2;Agent;633,6;SUV;Medsize;Group.1;0,943529412;10586,4
619;Basic;High School or Below;Unemployed;F;44606,39071;17,4;79,2;Suburban;Single;73;24;57;0;4;Personal Auto;Personal L3;Offer1;Branch;525,6;Four-Door Car;Large;Group.1;0,873684211;3635,4
624;Extended;Master;Employed;M;49080;22,2;89,7;Rural;Single;91;14;68;0;1;Corporate Auto;Corporate L2;Offer1;Agent;25,299;Four-Door Car;Small;Group.1;0,995911603;6162,701
627;Basic;College;Employed;M;42536;22,4;87,8;Suburban;Divorced;63;30;57;0;6;Personal Auto;Personal L1;Offer2;Branch;375,330097;Four-Door Car;Medsize;Group.1;0,895480341;3215,669903
635;Extended;Bachelor;Employed;F;21450;19,1;73;Suburban;Married;138;15;35;0;4;Personal Auto;Personal L2;Offer1;Branch;938,513425;Sports Car;Medsize;Group.1;0,805690802;3891,486575
649;Basic;High School or Below;Employed;M;33345;19,2;74,5;Suburban;Single;65;32;52;0;2;Corporate Auto;Corporate L1;Offer1;Agent;338,619869;Four-Door Car;Medsize;Group.1;0,899816607;3041,380131
663;Basic;Doctor;Employed;M;55411;28,7;76,3;Urban;Married;100;24;53;0;4;Personal Auto;Personal L2;Offer2;Web;259,561195;Sports Car;Medsize;Group.1;0,95102619;5040,438805
666;Basic;High School or Below;Employed;M;56621;19,6;72;Rural;Married;65;27;36;2;1;Personal Auto;Personal L2;Offer2;Branch;84,026848;Four-Door Car;Medsize;Group.1;0,964091091;2255,973152
673;Basic;College;Unemployed;M;44606,39071;22,5;86,9;Suburban;Married;74;7;93;0;2;Personal Auto;Personal L2;Offer1;Agent;426,655599;Two-Door Car;Medsize;Group.1;0,938004127;6455,344401
686;Extended;College;Employed;M;32390;28,9;77,1;Rural;Married;80;20;36;0;8;Personal Auto;Personal L3;Offer1;Call Center;91,417923;Four-Door Car;Medsize;Group.1;0,968257666;2788,582077
719;Basic;Bachelor;Unemployed;F;0;12,7;79,8;Suburban;Single;64;12;24;0;1;Personal Auto;Personal L3;Offer2;Agent;460,8;Four-Door Car;Medsize;Group.1;0,7;1075,2
724;Extended;Master;Employed;F;33288;28,6;77;Urban;Married;86;1;27;2;9;Personal Auto;Personal L3;Offer1;Branch;221,856184;Four-Door Car;Medsize;Group.1;0,904454701;2100,143816
728;Basic;College;Employed;F;49665;17;78,5;Suburban;Single;93,62241888;5;51;0;2;Personal Auto;Personal L3;Offer3;Web;355,2;Four-Door Car;Large;Group.1;0,925608567;4419,543363
735;Basic;College;Employed;F;76694;19,4;73;Suburban;Married;117;34;23;0;1;Personal Auto;Personal L1;Offer4;Agent;561,6;SUV;Medsize;Group.1;0,791304348;2129,4
741;Extended;Bachelor;Employed;F;92600;22,5;88,6;Suburban;Single;94;9;48;0;1;Corporate Auto;Corporate L2;Offer3;Web;842,43785;Two-Door Car;Small;Group.1;0,813289484;3669,56215
744;Basic;College;Employed;F;85840;16,7;77,7;Rural;Married;102;14;79;2;4;Corporate Auto;Corporate L3;Offer2;Agent;138,722385;SUV;Medsize;Group.1;0,982784514;7919,277615
754;Premium;College;Employed;F;25965;17,4;78,6;Suburban;Divorced;253;15;59;0;1;Personal Auto;Personal L1;Offer2;Agent;1214,4;Luxury SUV;Medsize;Group.1;0,918644068;13712,6
774;Extended;College;Employed;M;90330;17,2;79,2;Rural;Single;137;0;86;3;2;Corporate Auto;Corporate L3;Offer1;Call Center;192,085299;Sports Car;Medsize;Group.1;0,983696715;11589,9147
780;Basic;High School or Below;Unemployed;F;0;19;74,7;Suburban;Married;93,62241888;34;5;0;8;Corporate Auto;Corporate L2;Offer1;Call Center;619,973889;SUV;Medsize;Group.1;-0,324413311;-151,8617946
802;Basic;College;Unemployed;M;44606,39071;28,9;75,6;Rural;Married;69;16;45;0;6;Personal Auto;Personal L1;Offer3;Agent;72,852047;Two-Door Car;Medsize;Group.1;0,976537183;3032,147953
828;Basic;College;Employed;M;72302;17,6;77,9;Suburban;Divorced;66;6;27;0;1;Personal Auto;Personal L3;Offer1;Agent;316,8;Two-Door Car;Medsize;Group.1;0,822222222;1465,2
833;Extended;Bachelor;Unemployed;F;0;28,7;77,5;Suburban;Divorced;95;13;20;0;5;Personal Auto;Personal L3;Offer1;Call Center;456;Two-Door Car;Large;Group.1;0,76;1444
836;Extended;Master;Employed;M;99960;17,6;78,7;Suburban;Married;76;19;83;0;4;Corporate Auto;Corporate L3;Offer1;Agent;364,8;Four-Door Car;Small;Group.1;0,942168675;5943,2
837;Basic;High School or Below;Unemployed;F;0;18,1;78,2;Suburban;Single;74;35;59;0;1;Personal Auto;Personal L1;Offer1;Agent;532,8;Four-Door Car;Small;Group.1;0,877966102;3833,2
842;Basic;College;Employed;F;67801;17;77,6;Rural;Divorced;115;12;45;1;1;Personal Auto;Personal L3;Offer3;Web;23,810491;SUV;Medsize;Group.1;0,995398939;5151,189509
843;Basic;High School or Below;Medical Leave;M;16042;27,9;77,4;Suburban;Married;73;33;58;0;9;Personal Auto;Personal L3;Offer1;Agent;350,4;Two-Door Car;Medsize;Group.1;0,917241379;3883,6
850;Basic;Master;Employed;F;41163;19,1;73,9;Rural;Married;108;11;66;0;3;Corporate Auto;Corporate L2;Offer1;Branch;231,922173;SUV;Small;Group.1;0,967463219;6896,077827
852;Extended;Master;Employed;M;90985;19,1;73,2;Rural;Divorced;87;33;39;0;1;Personal Auto;Personal L2;Offer1;Branch;78,085149;Four-Door Car;Medsize;Group.1;0,976986399;3314,914851
858;Premium;High School or Below;Unemployed;F;0;19,3;71,6;Suburban;Married;165;16;43;0;3;Personal Auto;Personal L3;Offer3;Call Center;792;SUV;Medsize;Group.1;0,888372093;6303
865;Basic;High School or Below;Employed;F;22862;16,5;80,8;Suburban;Married;67;9;40;0;2;Personal Auto;Personal L3;Offer2;Agent;321,6;Two-Door Car;Medsize;Group.1;0,88;2358,4
874;Extended;Bachelor;Employed;F;44897;17,9;78,9;Suburban;Married;99;22;46;1;7;Personal Auto;Personal L1;Offer4;Web;580,72531;Four-Door Car;Small;Group.1;0,872480169;3973,27469
876;Basic;Master;Employed;F;53265;17,8;79,1;Urban;Married;62;12;27;0;3;Personal Auto;Personal L2;Offer2;Call Center;238,005074;Four-Door Car;Small;Group.1;0,857822536;1435,994926
878;Basic;Bachelor;Employed;F;43817;13,8;80,3;Urban;Married;62;25;12;1;2;Personal Auto;Personal L3;Offer3;Branch;245,447622;Four-Door Car;Medsize;Group.1;0,670097282;498,552378
880;Basic;Bachelor;Employed;M;67798;18,5;74;Suburban;Divorced;69;1;78;0;9;Personal Auto;Personal L1;Offer1;Agent;331,2;Four-Door Car;Medsize;Group.1;0,938461538;5050,8
889;Extended;High School or Below;Unemployed;F;44606,39071;18,6;73,4;Suburban;Married;96;31;34;0;1;Personal Auto;Personal L1;Offer1;Agent;460,8;Four-Door Car;Large;Group.1;0,858823529;2803,2
890;Basic;Master;Employed;F;73570;19,3;71,6;Rural;Single;70;0;46;1;1;Special Auto;Special L3;Offer2;Branch;75,936096;Two-Door Car;Medsize;Group.1;0,976417361;3144,063904
895;Basic;Doctor;Employed;M;36631;22,8;89;Rural;Divorced;62;30;77;0;1;Personal Auto;Personal L3;Offer1;Agent;67,530904;Four-Door Car;Large;Group.1;0,98585444;4706,469096
904;Basic;College;Employed;F;35895;17,6;78,3;Urban;Married;73;11;51;0;1;Personal Auto;Personal L3;Offer2;Agent;312,921256;Four-Door Car;Medsize;Group.1;0,915949166;3410,078744
907;Basic;Bachelor;Employed;M;70014;17,2;78,7;Rural;Divorced;62;6;4;0;2;Corporate Auto;Corporate L3;Offer1;Agent;17,742954;Four-Door Car;Large;Group.1;0,928455831;230,257046
908;Basic;Master;Employed;M;81139;16,7;78,6;Suburban;Divorced;74;22;69;0;3;Special Auto;Special L2;Offer1;Web;392,6364;Four-Door Car;Medsize;Group.1;0,923102938;4713,3636
913;Basic;Master;Employed;F;63834;17,5;77,4;Rural;Married;100;23;19;1;3;Personal Auto;Personal L3;Offer4;Agent;215,226476;Sports Car;Small;Group.1;0,886722907;1684,773524
923;Extended;High School or Below;Employed;M;41986;22,9;88,5;Suburban;Single;84;25;31;2;5;Personal Auto;Personal L3;Offer1;Branch;430,375049;Two-Door Car;Small;Group.1;0,834725404;2173,624951
925;Extended;High School or Below;Unemployed;M;0;29,1;76,4;Suburban;Single;88;6;47;0;2;Personal Auto;Personal L1;Offer1;Agent;633,6;Two-Door Car;Medsize;Group.1;0,846808511;3502,4
940;Extended;High School or Below;Employed;M;96306;17,6;77,7;Rural;Divorced;95;12;17;1;6;Corporate Auto;Corporate L2;Offer1;Agent;185,355353;Four-Door Car;Medsize;Group.1;0,885228884;1429,644647
950;Basic;College;Employed;F;37038;18,4;73,8;Rural;Married;71;6;97;1;1;Corporate Auto;Corporate L3;Offer4;Branch;9,071305;Four-Door Car;Large;Group.1;0,998682837;6877,928695
958;Basic;College;Employed;M;90760;17,2;78,9;Rural;Married;103;5;7;2;1;Special Auto;Special L3;Offer2;Branch;133,475315;SUV;Medsize;Group.1;0,814874736;587,524685
965;Basic;Bachelor;Employed;F;25544;12,7;79,7;Suburban;Married;68;18;30;0;1;Personal Auto;Personal L3;Offer1;Agent;326,4;Four-Door Car;Medsize;Group.1;0,84;1713,6
966;Basic;Bachelor;Unemployed;M;0;22,6;86,7;Suburban;Single;102;18;32;5;1;Corporate Auto;Corporate L2;Offer2;Call Center;862,762957;SUV;Medsize;Group.1;0,735673114;2401,237043
